uuid;seller_id;seller_firstname;seller_lastname;date_joined;country;contact_region;contact_date;contact_customer_fullname;contact_type;contact_product_type_offered_id;contact_product_type_offered;sale_net_amount;sale_gross_amount;sale_tax_rate;sale_product_total_cost
ccfb0a81-9259-4077-b403-d17a375f8e1f;8279;Johnathan;Adams;2021-04-25;AO;Slovenia;2017-10-22;Johnathan Adams;AOL.com;8279;Jameson;77.3722628375386;108.947493445569;0.999161592218634;33.6740298530432
4f3c0903-a235-4fff-a405-c43c5466d47d;8245;Johnathan;Archer;2009-09-20;Zj;Slovenia;2019-06-18;Johnathan Archer;Google;8245;Ciroc;93.4375718899246;95.5208493361812;0.999279100447557;76.8189820762812
477dd654-a246-4374-b655-2070fa55b332;4758;Johnathan;Rycroft;2013-04-07;xo;Slovenia;2009-12-19;Johnathan Rycroft;Yandex.ru;4758;Malibu;32.500603277935;131.262186295009;0.999280517454855;22.2026356254717
7a772eb1-4a1c-43c0-b27e-1ae0305b5dc6;8593;Josh;Collins;2006-05-01;Sv;Slovenia;2017-04-12;Josh Collins;Google;8593;Evolution Fresh;76.3748707828926;141.102713582154;0.99933580774783;52.8210968113603
188fdb84-dda7-445b-b8f7-cc8560a9e53c;6697;Jules;Owen;2015-10-30;Wb;Slovenia;2006-09-07;Jules Owen;Google;6697;Bud Light;107.659357158774;85.3062216664228;0.99947417620545;70.7948473537317
;432;Katelyn;Wren;2018-01-17;bf;Slovenia;2021-05-25;Katelyn Wren;Ask;432;Granini;112.780358258998;56.426684117609;0.999565204605258;26.8048585237958
542ed294-6a50-4652-88f6-52bf7115c50d;2413;Leroy;Evans;2012-10-08;2G;Slovenia;2021-08-04;Leroy Evans;Bing;2413;Martell;67.9981291135764;86.2662894042518;0.999754584394281;36.9955158526988
d40a023f-663d-4ce1-985b-c2f92f998b93;6577;Leroy;Newman;2008-10-19;l9;Slovenia;2021-01-27;Leroy Newman;Yahoo;6577;Stella Artois;105.270017526704;61.3070819905526;0.999818864278411;53.8871425515447
;1180;Leroy;Quinn;2012-07-13;WO;Slovenia;2006-05-09;Leroy Quinn;Google;1180;Guaranito;51.8621893463946;59.9654188644911;0.999838143121376;16.5368781483438
88b5d1cf-028a-4b0c-b6a4-1824cb071bf4;2653;Lindsay;Logan;2014-10-13;TM;Slovenia;2010-10-30;Lindsay Logan;Google;2653;Granini;70.5753398340081;90.4519437912162;0.999916808214;90.353918994476
;1093;Lynn;Larkin;2009-12-29;os;Slovenia;2008-07-05;Lynn Larkin;Wolfamalpha;1093;Evolution Fresh;66.447755540464;62.4246143337454;0.99992846511301;20.2284050086645
4f18434b-7dcd-4df1-8bbe-c8392075ffb3;7456;Madison;Larsen;2016-11-28;4o;Slovenia;2018-02-06;Madison Larsen;AOL.com;7456;Nestlé Waters;80.2561373804957;136.871859689649;0.999978410545726;66.2989558858326
c50ea1b8-cc09-46d6-a0fe-1a4c41296a6c;3147;Marla;Styles;2007-04-23;Iw;Slovenia;2017-03-02;Marla Styles;Go.com;3147;Agua Vida;;;;
8a86ce74-5ffa-4f8c-bd9a-bff960338f17;4887;Mavis;Brett;2013-10-17;xY;Slovenia;2014-11-09;Mavis Brett;Go.com;4887;Cappy;;;;
620b9dcb-d751-4d77-a7e4-d4de97bd9ef3;9020;Melanie;Ebbs;2013-10-26;MM;Slovenia;2014-06-16;Melanie Ebbs;Yahoo;9020;Kool-Aid;;;;
794f0478-1893-4e31-95b5-5edc7c7ba539;9145;Mike;Ellison;2013-01-10;VQ;Slovenia;2016-06-21;Mike Ellison;Yahoo;9145;Edelweiss;;;;
4325a4cd-5bc3-4375-adc8-e50baca2cd47;3014;Mike;James;2017-07-26;FB;Slovenia;2010-10-08;Mike James;AOL.com;3014;Grolsch;;;;
5b899b47-9dd8-4efb-8f89-2c34499fd5f7;7088;Mike;Jones;2011-06-25;Wp;Slovenia;2014-08-30;Mike Jones;DuckDuckGo;7088;Tanqueray;;;;
494ed77a-0f79-479e-9707-ff08c4b52d96;6682;Nick;Uddin;2008-12-14;af;Slovenia;2012-01-06;Nick Uddin;Ask;6682;Evian;;;;
5a9d9377-06fa-4aa1-87fd-1e911dbf61c7;7174;Shelby;Knight;2017-04-07;Zp;Slovenia;2020-04-30;Shelby Knight;Bing;7174;Keystone Light;;;;
